Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
STRCW,Sarcos Technology and Robotics Corporation Warrants,$1.15,-0.06,-4.959%,0.00,United States,,563470,Capital Goods,Wholesale Distributors
STRL,Sterling Construction Company Inc Common Stock,$26.70,-0.56,-2.054%,768813417.00,United States,,114619,Capital Goods,Oilfield Services/Equipment
STRT,STRATTEC SECURITY CORPORATION Common Stock,$37.26,-0.23,-0.613%,147312887.00,United States,,6320,Capital Goods,Auto Parts:O.E.M.
SUMR,Summer Infant Inc. Common Stock,$10.82,0.30,2.852%,23422141.00,United States,,1774,Capital Goods,Office Equipment/Supplies/Services
SWIM,Latham Group Inc. Common Stock,$24.66,-0.90,-3.521%,2969714950.00,United States,2021,339067,Capital Goods,Engineering & Construction
SYPR,Sypris Solutions Inc. Common Stock,$2.64,-0.07,-2.583%,57683271.00,United States,,35736,Capital Goods,Auto Parts:O.E.M.
TATT,TAT Technologies Ltd. Ordinary Shares,$6.38,0.03,0.472%,56620560.00,Israel,,43327,Capital Goods,Aerospace
TAYD,Taylor Devices Inc. Common Stock,$10.40,0.25,2.463%,36366356.00,United States,,1385,Capital Goods,Industrial Machinery/Components
TBLT,ToughBuilt Industries Inc. Common Stock,$0.4032,-0.0089,-2.16%,52133602.00,United States,2018,1063326,Capital Goods,Diversified Manufacture
TBLTW,ToughBuilt Industries Inc. Warrant,$0.1401,0.01,7.686%,0.00,United States,2018,200,Capital Goods,Diversified Manufacture
TER,Teradyne Inc. Common Stock,$156.57,-3.84,-2.394%,25521589514.00,United States,,1059506,Capital Goods,Electrical Products
TESS,TESSCO Technologies Incorporated Common Stock,$6.87,0.25,3.776%,61601676.00,United States,1994,790338,Capital Goods,Telecommunications Equipment
TGLS,Tecnoglass Inc. Ordinary Shares,$21.56,-12.14,-36.024%,1027868106.00,Colombia,2012,11075336,Capital Goods,Office Equipment/Supplies/Services
THMO,ThermoGenesis Holdings Inc. Common Stock,$1.21,-0.02,-1.626%,14413259.00,United States,,77475,Capital Goods,Medical Specialities
THRM,Gentherm Inc Common Stock,$82.69,-2.92,-3.411%,2747669461.00,United States,,230910,Capital Goods,Auto Parts:O.E.M.
THRY,Thryv Holdings Inc. Common Stock,$37.17,-1.57,-4.053%,1262534693.00,United States,,199366,Capital Goods,Industrial Machinery/Components
TRMB,Trimble Inc. Common Stock,$86.91,-1.46,-1.652%,21815139088.00,United States,1990,746600,Capital Goods,Industrial Machinery/Components
TSLA,Tesla Inc. Common Stock,$1003.80,-65.16,-6.096%,1008081058438.00,United States,2010,19697541,Capital Goods,Auto Manufacturing
TSP,TuSimple Holdings Inc. Class A Common Stock,$35.255,-4.565,-11.464%,7510251549.00,United States,2021,1353387,Capital Goods,Construction/Ag Equipment/Trucks
TWIN,Twin Disc Incorporated Common Stock,$12.27,-0.225,-1.801%,166859890.00,United States,,10953,Capital Goods,Industrial Machinery/Components
UGRO,urban-gro Inc. Common Stock,$9.80,-0.10,-1.01%,105446236.00,United States,,105914,Capital Goods,Industrial Machinery/Components
UTSI,UTStarcom Holdings Corp.,$0.9901,-0.02,-1.98%,35823914.00,China,2000,14753,Capital Goods,Telecommunications Equipment
VC,Visteon Corporation Common Stock,$113.38,-3.73,-3.185%,3174258816.00,United States,,145643,Capital Goods,Auto Parts:O.E.M.
VEV,Vicinity Motor Corp. Common Stock,$4.20,0.13,3.194%,146550256.00,Canada,,109213,Capital Goods,Building Materials
VICR,Vicor Corporation Common Stock,$120.17,-5.75,-4.566%,5259659804.00,United States,,315444,Capital Goods,Industrial Machinery/Components
VISL,Vislink Technologies Inc. Common Stock,$1.34,-0.08,-5.634%,61405619.00,United States,2013,560047,Capital Goods,Telecommunications Equipment
VJET,voxeljet AG American Depositary Shares,$7.60,-0.09,-1.17%,53403004.00,Germany,,7202,Capital Goods,Industrial Machinery/Components
VLDR,Velodyne Lidar Inc. Common Stock,$5.26,-0.24,-4.364%,1033312004.00,United States,,2161166,Capital Goods,Industrial Machinery/Components
VLDRW,Velodyne Lidar Inc. Warrants ,$1.06,-0.07,-6.195%,0.00,United States,,31642,Capital Goods,Industrial Machinery/Components
VTSI,VirTra Inc. Common Stock,$6.51,-0.27,-3.982%,70354416.00,United States,,68534,Capital Goods,Military/Government/Technical
VUZI,Vuzix Corporation Common Stock,$9.84,-0.55,-5.294%,626135692.00,United States,,1268467,Capital Goods,Industrial Machinery/Components
WATT,Energous Corporation Common Stock,$1.47,-0.10,-6.369%,110851817.00,United States,2014,729976,Capital Goods,Industrial Machinery/Components
WISH,ContextLogic Inc. Class A Common Stock,$3.60,-0.18,-4.762%,2314800000.00,United States,2020,15852429,Capital Goods,Recreational Products/Toys
WKHS,Workhorse Group Inc. Common Stock,$5.11,-0.40,-7.26%,797089017.00,United States,,4214208,Capital Goods,Auto Manufacturing
WKSP,Worksport Ltd. Common Stock,$4.00,-0.24,-5.66%,67485944.00,Canada,,172155,Capital Goods,Auto Parts:O.E.M.
WKSPW,Worksport Ltd. Warrant,$1.14,0.02,1.786%,0.00,Canada,,2074,Capital Goods,Auto Parts:O.E.M.
WLFC,Willis Lease Finance Corporation Common Stock,$35.30,-1.98,-5.311%,212366600.00,United States,1996,3975,Capital Goods,Aerospace
WPRT,Westport Fuel Systems Inc Common Shares,$2.32,-0.13,-5.306%,396241050.00,Canada,,1207418,Capital Goods,Multi-Sector Companies
WRAP,Wrap Technologies Inc. Common Stock,$4.98,0.03,0.606%,203043106.00,United States,,220615,Capital Goods,Industrial Machinery/Components
WWD,Woodward Inc. Common Stock,$107.84,-1.09,-1.001%,6801454781.00,United States,,227576,Capital Goods,Military/Government/Technical
XOS,Xos Inc. Common Stock,$3.37,-0.21,-5.866%,548989641.00,United States,2020,888766,Capital Goods,Construction/Ag Equipment/Trucks
XOSWW,Xos Inc. Warrants,$0.66,-0.0849,-11.398%,0.00,United States,2020,32564,Capital Goods,Construction/Ag Equipment/Trucks
XPEL,XPEL Inc. Common Stock,$67.43,-0.86,-1.259%,1861917416.00,United States,,207500,Capital Goods,Auto Parts:O.E.M.
ZKIN,ZK International Group Co. Ltd Ordinary Share,$1.61,-0.07,-4.167%,26658440.00,China,2017,239560,Capital Goods,Metal Fabrications
