Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
INVZW,Innoviz Technologies Ltd. Warrant,$2.00,-0.01,-0.498%,0.00,Israel,,9701,Capital Goods,Auto Parts:O.E.M.
IPWR,Ideal Power Inc. Common Stock,$11.20,-1.13,-9.165%,65990915.00,United States,2013,21570,Capital Goods,Industrial Machinery/Components
ISSC,Innovative Solutions and Support Inc. Common Stock,$6.11,-1.0201,-14.307%,105375333.00,United States,2000,115367,Capital Goods,Military/Government/Technical
ITI,Iteris Inc. Common Stock,$4.47,-0.13,-2.826%,189223021.00,United States,,155816,Capital Goods,Telecommunications Equipment
ITRI,Itron Inc. Common Stock,$65.00,-0.10,-0.154%,2942696315.00,United States,1993,341548,Capital Goods,Electrical Products
KE,Kimball Electronics Inc. Common Stock,$21.09,-0.20,-0.939%,529378213.00,United States,,137303,Capital Goods,Industrial Machinery/Components
KEQU,Kewaunee Scientific Corporation Common Stock,$12.43,0.03,0.242%,34678121.00,United States,,1796,Capital Goods,Medical Specialities
KLAC,KLA Corporation Common Stock,$409.37,-11.91,-2.827%,62069565686.00,United States,1980,1091591,Capital Goods,Electronic Components
KNDI,Kandi Technologies Group Inc Common Stock,$3.74,-0.12,-3.109%,289420386.00,China,,603636,Capital Goods,Auto Parts:O.E.M.
KOPN,Kopin Corporation Common Stock,$4.65,-0.44,-8.644%,428684458.00,United States,1992,1189533,Capital Goods,Industrial Machinery/Components
KRNT,Kornit Digital Ltd. Ordinary Shares,$152.02,-12.39,-7.536%,7074511566.00,Israel,2015,281355,Capital Goods,Industrial Machinery/Components
KRT,Karat Packaging Inc. Common Stock,$21.00,0.16,0.768%,415787904.00,United States,2021,3593,Capital Goods,Office Equipment/Supplies/Services
LAWS,Lawson Products Inc. Common Stock,$48.40,-1.03,-2.084%,439391995.00,United States,,8075,Capital Goods,Industrial Machinery/Components
LCID,Lucid Group Inc. Common Stock,$36.52,-8.20,-18.336%,60125320831.00,United States,,120454423,Capital Goods,Auto Manufacturing
LECO,Lincoln Electric Holdings Inc. Common Shares,$135.91,-0.64,-0.469%,8025252414.00,United States,,159518,Capital Goods,Industrial Machinery/Components
LGIH,LGI Homes Inc. Common Stock,$158.31,2.32,1.487%,3842688867.00,United States,2013,261838,Capital Goods,Homebuilding
LI,Li Auto Inc. American Depositary Shares,$31.09,-0.50,-1.583%,32111546048.00,China,2020,6056388,Capital Goods,Auto Manufacturing
LIDR,AEye Inc. Class A Common Stock,$5.00,-0.23,-4.398%,772977200.00,United States,2021,1002927,Capital Goods,Auto Parts:O.E.M.
LIDRW,AEye Inc. Warrant,$0.8149,-0.0351,-4.129%,0.00,United States,2021,2185,Capital Goods,Auto Parts:O.E.M.
LINK,Interlink Electronics Inc. Common Stock,$10.40,0.13,1.266%,68665979.00,United States,,3221,Capital Goods,Industrial Machinery/Components
LIQT,LiqTech International Inc. Common Stock,$4.93,-0.29,-5.556%,104938531.00,Denmark,,21122,Capital Goods,Industrial Machinery/Components
LIVE,Live Ventures Incorporated Common Stock,$33.00,-1.10,-3.226%,51837522.00,United States,,11178,Capital Goods,Recreational Products/Toys
LKQ,LKQ Corporation Common Stock,$57.26,-0.47,-0.814%,16690785139.00,United States,,1648097,Capital Goods,Automotive Aftermarket
LPTH,LightPath Technologies Inc. Class A Common Stock,$2.38,0.00,0.00%,64246991.00,United States,1996,479423,Capital Goods,Electronic Components
LTRX,Lantronix Inc. Common Stock,$7.01,-0.22,-3.043%,241452720.00,United States,2000,161431,Capital Goods,Telecommunications Equipment
MIDD,Middleby Corporation (The) Common Stock,$187.23,3.93,2.144%,10414917204.00,United States,,656785,Capital Goods,Diversified Manufacture
MIND,MIND Technology Inc. Common Stock (DE),$1.51,-0.1257,-7.685%,20798897.00,United States,1994,54457,Capital Goods,Industrial Machinery/Components
MINDP,MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE),$18.36,-0.0586,-0.318%,0.00,United States,,3024,Capital Goods,Industrial Machinery/Components
MKSI,MKS Instruments Inc. Common Stock,$161.10,-4.85,-2.923%,8934430562.00,United States,1999,282683,Capital Goods,Industrial Machinery/Components
MLAB,Mesa Laboratories Inc. Common Stock,$324.87,0.87,0.269%,1697521120.00,United States,,15125,Capital Goods,Industrial Machinery/Components
MLKN,MillerKnoll Inc. Common Stock,$40.28,-0.13,-0.322%,3052161333.00,United States,,425230,Capital Goods,Wholesale Distributors
MPAA,Motorcar Parts  of America Inc. Common Stock,$18.99,-0.06,-0.315%,364695677.00,United States,,35612,Capital Goods,Auto Parts:O.E.M.
MULN,Mullen Automotive Inc. Common Stock,$6.46,-0.65,-9.142%,151209653.00,United States,,483835,Capital Goods,Auto Manufacturing
MVIS,MicroVision Inc. Common Stock,$6.78,-0.38,-5.307%,1112623832.00,United States,1996,2748698,Capital Goods,Industrial Machinery/Components
MVST,Microvast Holdings Inc. Common Stock,$7.15,-0.20,-2.721%,2148735117.00,United States,2019,636636,Capital Goods,Industrial Machinery/Components
MVSTW,Microvast Holdings Inc. Warrants,$1.48,-0.11,-6.918%,0.00,United States,2019,49258,Capital Goods,Industrial Machinery/Components
NDSN,Nordson Corporation Common Stock,$266.23,-0.51,-0.191%,15471837445.00,United States,,183299,Capital Goods,Industrial Machinery/Components
NEON,Neonode Inc. Common Stock,$10.36,-0.36,-3.358%,140494208.00,Sweden,,71827,Capital Goods,Industrial Machinery/Components
NISN,NiSun International Enterprise Development Group Co. Ltd. Class A Common Shares,$9.65,0.40,4.324%,170018612.00,China,2016,31747,Capital Goods,Metal Fabrications
NIU,Niu Technologies American Depositary Shares,$19.08,-1.18,-5.824%,1455326981.00,China,2018,436549,Capital Goods,Auto Manufacturing
NKLA,Nikola Corporation Common Stock,$9.94,-0.41,-3.961%,4044440389.00,United States,2018,6713599,Capital Goods,Construction/Ag Equipment/Trucks
NN,NextNav Inc. Common Stock,$7.94,0.73,10.125%,758074152.00,United States,,236035,Capital Goods,Industrial Machinery/Components
NNAVW,NextNav Inc. Warrant,$1.40,0.06,4.478%,0.00,United States,,6169,Capital Goods,Industrial Machinery/Components
NSYS,Nortech Systems Incorporated Common Stock,$10.65,-0.15,-1.389%,28457482.00,United States,,2015,Capital Goods,Industrial Machinery/Components
NVMI,Nova Ltd. Ordinary Shares,$128.97,-3.28,-2.48%,3675631458.00,Israel,2000,108340,Capital Goods,Electronic Components
OB,Outbrain Inc. Common Stock,$14.49,-0.73,-4.796%,804310558.00,United States,2021,112448,Capital Goods,Industrial Machinery/Components
OFLX,Omega Flex Inc. Common Stock,$116.50,-0.04,-0.034%,1175988513.00,United States,,11695,Capital Goods,Building Products
OLK,Olink Holding AB (publ) American Depositary Shares,$19.88,-0.83,-4.008%,2365860393.00,Sweden,2021,197052,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ONDS,Ondas Holdings Inc. Common Stock,$8.16,-0.15,-1.805%,332835637.00,United States,,227908,Capital Goods,Telecommunications Equipment
